shopName,reviewCount,avgPrice,address,tel,time
麦当劳(正佳广场店),1325,24,天河路228号正佳商业广场3楼,020-38330551,McDonald's 周一至周日 10:00-22:00
麦当劳(金沙洲路分店),451,25,金沙洲路111号金沙汇麦当劳,020-81618327,周一至周日 全天
麦当劳(府佑路店),502,20,增城府佑路东汇城首层,020-26250113,McDonald's 周一至周日 全天
麦当劳(环球贸易中心店),122,26,新港东路148号环球贸易中心2楼,13570984022,周一至周日 全天
麦当劳(增城港口大道北分店),356,23,港口大道北金海岸城市广场首层G区1-5号铺,020-32866791,McDonald's 周一至周日 全天
麦当劳(悦和方店),553,19,龙悦新街156号首二层首层商铺和二层01商铺,020-36299741,周一至周日 全天
麦当劳(五山店),1111,24,五山岳洲路42号1、2楼,020-85286067   4008517517,McDonald's 周一至周日 全天
麦当劳(中泰广场店),898,22,林和西路161号中泰广场首层及夹层（近广州东站地铁站B出口）,020-38251712,McDonald's 周一至周日 07:00-23:00
麦当劳(东圃汇友苑店),1131,22,东圃大马路7-11号汇友苑首、二层,020-82320178,McDonald's 周一至周日 全天
麦当劳(新港中路店),982,23,新港中路350号丽影广场,020-34010583   020-34031360,McDonald's 周一至周日 全天
麦当劳(新天河路店),1171,27,体育西路101号维多利广场首层及二层部分,020-38617982,周一至周日 07:00-23:00
麦当劳(南沙金洲店),163,25,进港大道金州段富佳花园,020-39091368,McDonald's 周一至周日 全天
麦当劳(永泰得来速店),373,21,丛云路1032号,020-36453906,McDonald's 周一至周日 全天
麦当劳(洛溪商业中心店),386,27,麦当劳洛溪商业中心分店（洛溪新城洛溪商业中心1座首、夹层）,020-34503893,McDonald's 周一至周日 全天
麦当劳(广州南站分店),35,35,南站南路广州南站出发大厅3F29铺（距离地铁3号线广州南站b出口100m）,13560197996,周一至周日 06:00-23:00
麦当劳(下渡路店),950,30,上渡路123号,020-34253090,McDonald's 周一至周日 全天
麦当劳McDonald's(太古汇店),651,26,天河路383号太古汇商场M层M54单元,020-87711606,周一至周日 08:00-22:00
麦当劳(宝业路分店),998,22,宝业路8号二楼,020-34229497,周一至周日 全天
麦当劳(嘉禾店),240,26,嘉禾街鹤鳖公路501号后座16、17、19栋,020-86314881,McDonald's 周一至周日 全天
麦当劳(中山八路店),583,25,中山八路73号首层,020-81935009,McDonald's 周一至周日 全天
麦当劳(从化新世纪广场店),1475,26,街口镇新世纪广场首层,020-87921092,McDonald's 周一至周日 全天
麦当劳(白云机场二号航站楼一分店),285,31,机场大道东888号广州白云国际机场2号航站楼内,020-36488441,周一至周日 06:00-23:00
麦当劳(广深大道得来速第二分店),201,23,豪进商业广场之广深大道西193号,020-32143523,周一至周日 全天
麦当劳(丽都店),1051,20,北京路182号丽都大酒店首、二层（近永汉电影院）,020-83330006,McDonald's 周一至周日 全天
麦当劳(黄金大道得来速店),198,20,化龙镇展贸东路184号101,020-84788726,周一至周日 全天
麦当劳(西槎路聚龙分店),11,24,西槎路803号110铺,020-31233814,周一至周日 07:00-23:00
麦当劳(中天购物城店),1116,24,天河北路233号中信广场,020-38772219,McDonald's 周一至周日 全天
麦当劳(人民中路店),511,26,人民中路304-314号餐厅,020-81912822,McDonald's 周一至周日 全天
麦当劳(名店城),1035,19,江南西路8-10号,020-89557102,周一至周日 07:00-22:00
麦当劳(华观路第二分店),860,26,华观路1932号L138铺,020-89280891,周一至周日 全天
麦当劳(广从路庆达广场分店),384,33,钟落潭镇广从七路1002号首层A168、A170号商铺,020-31524070,周一至周日 全天
麦当劳(宝岗店),858,22,宝岗大道中183号宏宇广场首层（近仁夏直街）,020-34142418,McDonald's 周一至周日 全天
麦当劳(至泰广场店),227,27,开达路162号栋105号,4008517517   020-87721106,周一至周日 07:00-22:00
麦当劳(市南路得来速店),123,20,东涌镇市南公路东涌段160号,020-34904313,周一至周日 全天
麦当劳(领展购物广场分店),191,23,黄沙大道8号领展购物广场地下一层B101房之一B093A号商铺,020-81179087,周一至周日 07:00-22:00
麦当劳(番禺万达广场店),609,22,麦当劳汉溪大道东分店（番禺汉溪大道东381号万达广场二层2001号商铺）,020-31007068,McDonald's 周一至周日 09:00-22:00
麦当劳(龙洞店),473,20,龙洞牌坊1号,020-87030869,McDonald's 周一至周日 全天
麦当劳(富乐阳光里分店),20,23,市桥街富华东路338号2座首层自编2115、2-116、2-117、2-118、2-119铺,020-89047104,周一至周日 全天
麦当劳(骏壹万邦店),316,35,曙光路分店81号骏壹万邦广场1层,020-39475942,周一至周日 全天
麦当劳(人和店),509,27,人和镇鹤龙6路187号,020-36020898,McDonald's 周一至周日 全天
麦当劳(外经贸店),1000,26,天河路351号广东对外经贸大厦首层（近地铁体育中心站A出口）,020-38869432,McDonald's 周一至周日 全天
麦当劳(广州大道北第三店),429,23,北侧自编1号雄州城一层二层,020-37324716,周一至周日 全天
麦当劳(花都公益路店),314,22,新华街公益大道27号百业商业文化中心中心首层002-007号商铺,020-86881135,McDonald's 周一至周日 全天
麦当劳(广州大道北店),450,21,广州大道北1521号首层101号自编106商铺、二层201号自编201商铺,020-38936371,McDonald's 周一至周日 全天
麦当劳(石沙路石井国际广场店),180,22,石沙路86号石井国际大厦首层A-101商铺,020-62903899,周一至周日 全天
麦当劳(黄埔潮楼名店城店),574,22,大沙西路311号首层F113铺、二层F217铺,020-31605469,McDonald's 周一至周日 07:00-23:00
