shopName,starScore,tasteScore,envScore,serScore,goodCount,middleCount,badCount
麦当劳(正佳广场店),4.20,4.20,4.10,4.10,1004,214,72
麦当劳(金沙洲路分店),4.20,4.30,4.30,4.20,362,59,30
麦当劳(府佑路店),4.50,4.50,4.50,4.50,464,29,9
麦当劳(环球贸易中心店),,4.50,4.30,4.40,117,5,0
麦当劳(增城港口大道北分店),,4.50,4.50,4.50,329,15,12
麦当劳(悦和方店),,4.70,4.60,4.60,498,32,23
麦当劳(五山店),4.30,4.20,4.20,4.20,914,115,60
麦当劳(中泰广场店),4.30,4.30,4.30,4.20,768,77,39
麦当劳(东圃汇友苑店),4.40,4.40,4.40,4.40,1008,81,32
麦当劳(新港中路店),4.20,4.20,4.20,4.20,785,138,59
麦当劳(新天河路店),4.40,4.30,4.40,4.30,1040,102,31
麦当劳(南沙金洲店),4.30,4.30,4.20,4.30,128,19,14
麦当劳(永泰得来速店),4.30,4.30,4.20,4.30,303,49,21
麦当劳(洛溪商业中心店),4.30,4.30,4.30,4.30,305,52,27
麦当劳(广州南站分店),4.10,4.10,4.10,4.10,33,1,2
麦当劳(下渡路店),4.30,4.30,4.30,4.20,750,117,50
麦当劳McDonald's(太古汇店),,4.50,4.40,4.50,565,64,22
麦当劳(宝业路分店),4.30,4.20,4.30,4.20,785,156,49
麦当劳(嘉禾店),4.20,4.20,4.20,4.20,191,35,14
麦当劳(中山八路店),4.00,4.10,4.00,4.10,431,97,51
麦当劳(从化新世纪广场店),4.30,4.30,4.30,4.20,1385,46,44
麦当劳(白云机场二号航站楼一分店),4.10,4.20,4.20,4.10,223,51,11
麦当劳(广深大道得来速第二分店),,4.40,4.50,4.50,186,11,5
麦当劳(丽都店),4.00,4.00,4.00,4.00,812,151,79
麦当劳(黄金大道得来速店),4.20,4.30,4.20,4.20,168,27,3
麦当劳(西槎路聚龙分店),,3.90,3.90,4.00,9,2,0
麦当劳(中天购物城店),4.30,4.20,4.30,4.20,893,130,48
麦当劳(人民中路店),4.20,4.10,4.10,4.10,409,62,39
麦当劳(名店城),4.30,4.30,4.30,4.30,896,100,39
麦当劳(华观路第二分店),,4.50,4.50,4.50,780,56,24
麦当劳(广从路庆达广场分店),,4.50,4.50,4.50,340,28,16
麦当劳(宝岗店),4.20,4.20,4.20,4.20,719,87,49
麦当劳(至泰广场店),,4.50,4.50,4.40,208,15,4
麦当劳(市南路得来速店),4.30,4.30,4.30,4.30,111,9,4
麦当劳(领展购物广场分店),4.00,4.10,4.10,4.00,151,21,20
麦当劳(番禺万达广场店),,4.50,4.50,4.50,544,46,22
麦当劳(龙洞店),4.40,4.30,4.30,4.30,368,59,34
