shopName,shopRegion,shopLocation
麦当劳(北京路店),越秀区,北京路商业区
麦当劳(人民中路店),越秀区,中山六路
麦当劳(丽都店),越秀区,北京路商业区
麦当劳(广百店),越秀区,北京路商业区
麦当劳(小北路店),越秀区,小北/淘金
麦当劳(三元里大道店),越秀区,三元里
麦当劳(信德商务大厦分店),越秀区,北京路商业区
麦当劳(农讲所星火分店),越秀区,北京路商业区
麦当劳(动漫星城店),越秀区,北京路商业区
麦当劳(国际大厦店),越秀区,环市东路/区庄
麦当劳(海印缤缤广场店),越秀区,海珠广场
麦当劳(一德路店),越秀区,沿江路/二沙岛
麦当劳(东风西路店),越秀区,康王路
麦当劳(宜安广场店),越秀区,小北/淘金
麦当劳(环市中路店),越秀区,环市东路/区庄
麦当劳(东方时代广场分店),越秀区,火车站/人民北路
麦当劳(解放北路店),越秀区,三元里
麦当劳(中唱大厦店),越秀区,三元里
麦当劳(英雄广场店),越秀区,中山二三路/东山口
麦当劳(杨箕分店),越秀区,东风东/杨箕
麦当劳(儿童公园店),越秀区,沿江路/二沙岛
麦当劳(捷泰店),越秀区,中山六路
麦当劳(龟岗大马路店),越秀区,中山二三路/东山口
麦当劳(较场西店),越秀区,中山二三路/东山口
麦当劳(先烈中路店),越秀区,环市东路/区庄
麦当劳(海印广场店),越秀区,沿江路/二沙岛
麦当劳(三元里大道第三店),越秀区,三元里
麦当劳(宝山大厦店),越秀区,区庄/动物园
麦当劳(江湾阳光天地店),越秀区,沿江路/二沙岛
麦当劳(五羊新城店),越秀区,五羊新城
麦当劳(王府井店),越秀区,东风东/杨箕
麦当劳(金融大厦店),越秀区,火车站/人民北路
麦当劳(二沙岛晴波路店),越秀区,沿江路/二沙岛
麦当劳（东川路店）-洗手间,越秀区,中华广场
麦当劳(人民中路分店)-洗手间,越秀区,上下九商业区
麦当劳广园西分店-停车场,越秀区,三元里
麦当劳(青宫店)-洗手间,越秀区,北京路商业区
麦当劳(广州白云山云山天地店),越秀区,麓湖公园
麦当劳(东沙大道健康港分店),荔湾区,荔湾区
麦当劳(和业广场店),荔湾区,中山七八路
麦当劳(东漖南路店),荔湾区,芳村
麦当劳(东急新天地店),荔湾区,上下九商业区
麦当劳(花地大道中第二分店),荔湾区,芳村
麦当劳(广钢新城分店),荔湾区,荔湾区
麦当劳(康王店),荔湾区,中山七八路
麦当劳(鹤洞路店),荔湾区,芳村
麦当劳(龙溪中路得来速店),荔湾区,芳村
麦当劳(中山八路二分店),荔湾区,中山七八路
麦当劳(西村店),荔湾区,西村/西场
麦当劳(芳村万象店),荔湾区,芳村
麦当劳(中山八路店),荔湾区,中山七八路
麦当劳(领展购物广场分店),荔湾区,领展购物广场
麦当劳(恩宁路店),荔湾区,上下九商业区
麦当劳(华厦康隆店),荔湾区,中山七八路
麦当劳(东漖北路店),荔湾区,芳村
麦当劳(大坦沙东海岸分店),荔湾区,坦尾/河沙
麦当劳(芳村店),荔湾区,芳村
麦当劳(宝华路店),荔湾区,上下九商业区
麦当劳(悦汇城店),荔湾区,西村/西场
麦当劳(华南影都店),荔湾区,西村/西场
麦当劳(沙面店),荔湾区,沙面
麦当劳(人民中路分店)-洗手间,荔湾区,上下九商业区
麦当劳(正佳广场店),天河区,天河路/体育中心
麦当劳(新天河路店),天河区,天河路/体育中心
麦当劳(华观路第二分店),天河区,小新塘
麦当劳(中泰广场店),天河区,天河北/广州东站
麦当劳(天河北路祥龙花园店),天河区,天河北/广州东站
麦当劳(富力盈凯店),天河区,花城汇/高德置地
麦当劳(龙洞2店),天河区,龙洞/岑村
麦当劳(正佳广场店),天河区,天河路/体育中心
麦当劳(广州东站二店),天河区,天河北/广州东站
麦当劳(体育东潮流站分店),天河区,正佳广场
麦当劳(黄埔大道西店),天河区,石牌/百脑汇
麦当劳(花城大道第三店),天河区,花城汇/高德置地
麦当劳(外经贸店),天河区,天河路/体育中心
麦当劳(天源路分店),天河区,天河客运站
麦当劳(华夏路店),天河区,珠江新城
麦当劳(昊胜大厦店),天河区,车陂/东圃
麦当劳(猎德大道店),天河区,珠江新城
麦当劳(优托邦店),天河区,兴盛路/跑马场
麦当劳(华忆百货店),天河区,石牌/百脑汇
麦当劳(花城大道华穗路店),天河区,珠江新城
麦当劳(珠江东路店),天河区,珠江新城
麦当劳(天娱广场店),天河区,石牌/龙口
麦当劳(五山路第二店),天河区,岗顶/龙口
麦当劳(都市广场店),天河区,天河公园/上社
麦当劳(东圃汇友苑店),天河区,车陂/东圃
麦当劳(华港分店),天河区,天河公园/上社
麦当劳(金穗路店),天河区,花城汇/高德置地
麦当劳(沙河店),天河区,沙河/天平架/梅花园
麦当劳(合景路店),天河区,小新塘
麦当劳(总统大酒店店),天河区,石牌/龙口
麦当劳(黄村大道路店),天河区,黄村/奥体
麦当劳(龙洞店),天河区,龙洞/岑村
麦当劳(中天购物城店),天河区,天河北/广州东站
麦当劳(今日广场店),天河区,天河路/体育中心
麦当劳(富力盈通店),天河区,珠江新城
麦当劳(花城大道第二店),天河区,珠江新城
麦当劳(东方宝泰广场店),天河区,天河北/广州东站
麦当劳(华观路DT店),天河区,龙洞/岑村
麦当劳(奥体南路店),天河区,黄村/奥体
麦当劳(富港大厦店),天河区,车陂/东圃
麦当劳(天河路第二店),天河区,石牌/龙口
麦当劳(太阳新天地店),天河区,兴盛路/跑马场
麦当劳(华景北路店),天河区,天河公园/上社
